[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event message
[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event command
[2025-11-24 14:21:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 19, 'tts': False, 'timestamp': '2025-11-24T19:21:10.838000+00:00', 'referenced_message': {'type': 0, 'tts': False, 'timestamp': '2025-11-24T19:21:10.622000+00:00', 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'id': '1442595924856668371', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '~track', 'components': [], 'channel_id': '1441526861351096420', 'author': {'username': 'dacooldog', 'public_flags': 128, 'primary_guild': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'id': '520863747120824320', 'global_name': 'DaCoolDog', 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': None, 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541'}, 'attachments': []}, 'pinned': False, 'nonce': '2123504079597543895', 'message_reference': {'type': 0, 'message_id': '1442595924856668371', 'guild_id': '1441499477054849066', 'channel_id': '1441526861351096420'}, 'mentions': [{'username': 'dacooldog', 'public_flags': 128, 'primary_guild': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-21T18:44:17.198000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '520863747120824320', 'global_name': 'DaCoolDog', 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'FOX', 'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'avatar_decoration_data': None, 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1441500633571131465'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-21T18:48:54.432000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1442595925762773023', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'Nothing found. Just patches of grass.', 'id': '1442595925762773024', 'footer': {'text': 'Last two finds: Kehai and ink • Initial roll: 213 • Final roll: 193'}, 'content_scan_version': 0, 'color': 15105570}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1441526861351096420', 'author': {'username': 'PereBot', 'public_flags': 0, 'primary_guild': None, 'id': '1441496998367990021', 'global_name': None, 'display_name_styles': None, 'discriminator': '8615', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1441499477054849066'}}
[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event message
[2025-11-24 14:21:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1441526861351096420/messages with {"embeds":[{"footer":{"text":"Last two finds: Kehai and ink \u2022 Initial roll: 213 \u2022 Final roll: 193"},"flags":0,"color":15105570,"type":"rich","title":"Nothing found. Just patches of grass."}],"content":null,"components":[],"nonce":"2123504079597543895","enforce_nonce":true,"message_reference":{"message_id":1442595924856668371,"channel_id":1441526861351096420,"guild_id":1441499477054849066},"tts":false} has returned 200
[2025-11-24 14:21:11] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-11-24 14:21:11] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1441526861351096420/messages has received {'type': 19, 'content': '', 'mentions': [{'id': '520863747120824320', 'username': 'dacooldog', 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': 'a_78d008dbb8433dab51b29da9252cbf12', 'accent_color': 10132122, 'global_name': 'DaCoolDog', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'banner_color': '#9a9a9a', 'clan': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'primary_guild': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}}], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'Nothing found. Just patches of grass.', 'color': 15105570, 'footer': {'text': 'Last two finds: Kehai and ink • Initial roll: 213 • Final roll: 193'}, 'content_scan_version': 0}], 'timestamp': '2025-11-24T19:21:10.838000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1442595925762773023', 'channel_id': '1441526861351096420', 'author': {'id': '1441496998367990021', 'username': 'PereBot', 'avatar': None, 'discriminator': '8615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '2123504079597543895', 'message_reference': {'type': 0, 'channel_id': '1441526861351096420', 'message_id': '1442595924856668371', 'guild_id': '1441499477054849066'}, 'referenced_message': {'type': 0, 'content': '~track', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-11-24T19:21:10.622000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1442595924856668371', 'channel_id': '1441526861351096420', 'author': {'id': '520863747120824320', 'username': 'dacooldog', 'avatar': '1e8c79ba4ee8d1a3e172fd42f478b541', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'DaCoolDog', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': {'font_id': 11, 'effect_id': 1, 'colors': [1628845]}, 'banner_color': None, 'clan': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}, 'primary_guild': {'identity_guild_id': '815738204626878514', 'identity_enabled': True, 'tag': 'FOX', 'badge': '7f968d34689b032120d7a0f2a3d69b83'}}, 'pinned': False, 'mention_everyone': False, 'tts': False}}
[2025-11-24 14:21:11] [DEBUG   ] discord.client: Dispatching event command_completion
